"Season","League","Player","Team","Age","Position","Goal-Scoring","Attack","Possession","Defense","Physical","Goalkeeping","PosRank","Grade"
"2025/26","Liga 2","José Sampaio","Vizela",21,"CB",79.66,52.24,35.82,62.94,38.51,0,26,"B"
"2025/26","Liga 2","Jota Gonçalves","Vizela",25,"CB",60.45,71.86,62.84,44.9,55.37,0,20,"B"
"2025/26","Liga 2","A. Hristov","Vizela",27,"CB",41.04,51.39,35.82,32.34,63.43,0,60,"E"
"2025/26","Liga 2","J. Rhyner","Vizela",29,"CB",23.51,33.05,54.63,56.84,57.01,0,35,"C"
"2025/26","Liga 2","Víctor Rofino","União de Leiria",23,"CB",77.8,58.85,80,43.41,61.94,0,19,"B"
"2025/26","Liga 2","José Pedro","União de Leiria",24,"CB",76.49,50.32,54.03,51.12,54.03,0,30,"C"
"2025/26","Liga 2","Genaro Rodríguez","União de Leiria",27,"CB",30.97,55.22,74.63,59.45,58.36,0,9,"A"
"2025/26","Liga 2","Marcelo","União de Leiria",36,"CB",63.25,41.68,38.96,66.67,28.51,0,25,"B"
"2025/26","Liga 2","Vasco Santos","UD Oliveirense",19,"CB",32.09,32.41,19.7,29.6,39.7,0,64,"F"
"2025/26","Liga 2","Simão Martins","UD Oliveirense",28,"CB",28.54,41.15,22.39,23.13,43.88,0,65,"F"
"2025/26","Liga 2","Frederico Namora","UD Oliveirense",28,"CB",19.78,40.94,73.13,44.15,46.57,0,34,"C"
"2025/26","Liga 2","Bura","UD Oliveirense",37,"CB",79.1,63.86,54.03,71.64,65.67,0,6,"A"
"2025/26","Liga 2","M. Diadié","Torreense",21,"CB",50.19,50.75,51.79,51.37,64.78,0,31,"C"
"2025/26","Liga 2","Stopira","Torreense",37,"CB",82.09,79.21,47.01,59.2,67.31,0,13,"A"
"2025/26","Liga 2","João Muniz","Sporting CP II",20,"CB",39.55,35.29,66.87,42.29,51.34,0,40,"C"
"2025/26","Liga 2","Bruno Ramos","Sporting CP II",21,"CB",77.61,60.55,68.96,57.21,59.4,0,14,"A"
"2025/26","Liga 2","David Moreira","Sporting CP II",21,"CB",20.15,46.8,65.82,47.39,55.82,0,29,"C"
"2025/26","Liga 2","Rômulo","Sporting CP II",22,"CB",38.81,27.19,34.33,34.83,25.52,0,62,"E"
"2025/26","Liga 2","Luís Gomes","Porto II",20,"CB",47.76,64.29,45.22,69.4,67.16,0,10,"A"
